sequenceId,itemPosition,Whale,Coda,Ornamentation,Synchrony,Duration,TimeDelta
0,89,2,4,0,0,0.2251736999999999,2.814900000000023
0,90,2,3,0,1,0.1243865,0.22517370000002757
0,91,1,5,0,1,0.8768083,0.09632629999993014
0,92,2,3,0,1,0.1295839999999999,0.02806020000002718
0,93,2,3,0,0,0.1356281,0.12958400000002257
0,94,2,3,0,0,0.1466111,0.13562810000001946
0,95,2,3,0,0,0.2190877,0.1466110999999728
0,96,2,0,0,1,0.3647186,0.21908769999998867
0,97,1,5,0,0,0.8888416,4.0155288999999925
0,98,1,5,1,0,0.895725,4.15379999999999
1,0,1,4,1,0,0.6448667,0.0
1,1,1,5,0,1,1.031875,3.5984749999997803
1,2,2,3,0,1,0.8491469,3.9717000000000553
1,3,1,5,0,1,0.9328,0.04559999999992215
1,4,2,3,0,1,0.8341406,3.653099999999995
1,5,1,5,0,1,0.9238417,0.03000000000020009
1,6,2,3,0,0,0.8658667000000001,3.7912999999998647
1,7,2,3,0,1,0.9066083,4.980600000000322
1,8,1,5,0,1,0.9870084,0.9592999999999847
1,9,2,3,0,1,0.92075,3.3325999999997293
1,10,1,5,0,1,0.9885917,0.5009000000000015
1,11,2,3,0,1,0.9335833,3.083900000000085
1,12,1,5,0,1,0.9898417,0.3976999999999862
1,13,2,3,0,1,0.9512917,3.1622000000002117
1,14,1,2,0,1,0.8657417000000001,0.2669999999998254
1,15,1,1,0,1,0.3789,0.8657416999999441
1,16,2,3,0,0,0.9450416,2.8424583000000894
1,17,2,3,0,0,1.266987,5.435800000000199
1,18,2,3,0,1,1.2468991,4.301499999999578
1,19,1,5,0,0,1.1383333,0.3979000000003907
1,20,1,5,0,1,1.13705,4.914899999999761
1,21,2,1,0,1,0.7957432,6.843200000000252
1,22,1,5,0,1,1.1143331,0.38739999999961583
1,23,2,1,0,0,0.1517731,0.4083432000002176
1,24,2,1,1,0,0.1995816,0.1517730999999003
1,25,2,1,0,0,4.7e-06,0.21314489999986108
1,26,2,1,0,0,0.2501258,4.70000031782547e-06
1,27,2,3,0,1,0.9935083,3.6846341000000393
1,28,1,5,0,1,1.0642667,0.030099999999947613
1,29,1,5,0,1,1.0549583,4.119299999999839
1,30,2,3,0,1,0.936775,0.6905000000001564
1,31,1,0,0,1,0.8039417,4.089399999999841
1,32,2,3,0,1,0.9093083,0.1447000000002845
1,33,1,1,0,0,0.1925916999999999,0.6592416999997113
1,34,1,1,1,0,0.2429166,0.19259169999986625
1,35,2,3,1,1,0.9059166,3.4222666000000572
1,36,1,16,0,0,0.4205084,0.1542583000000377
1,37,1,3,0,0,0.1571917,0.420508400000017
1,38,1,1,0,0,0.1809665999999999,0.15719170000011218
1,39,1,1,0,1,0.3051,0.1809665999999197
1,40,2,3,0,1,0.9170917,3.8866750000001957
1,41,1,8,0,0,0.2266417,0.31950000000006185
1,42,1,8,0,0,0.2084166,0.22664169999961814
1,43,1,3,0,0,0.1506334,0.2084165999999641
1,44,1,1,0,0,0.1501665999999999,0.15063340000006065
1,45,1,1,1,0,0.2862167,0.15016660000037518
1,46,2,3,0,1,0.9617167,5.486541699999634
1,47,1,9,0,0,0.2054417,0.40039999999999054
1,48,1,8,0,0,0.217425,0.20544169999993755
1,49,1,3,0,0,0.1516167,0.21742500000027576
1,50,1,1,0,0,0.147075,0.15161669999997684
1,51,1,1,0,0,0.3064917,0.14707499999985885
1,52,1,9,0,1,0.205,2.3864416000001256
1,53,2,3,0,1,0.9313333,0.1801999999997861
1,54,1,9,0,1,0.2142833,0.024800000000141154
1,55,1,9,0,0,0.26995,0.21428330000026108
1,56,1,1,1,0,0.1848417,0.2699499999998807
1,57,2,3,0,1,0.904492,3.12176670000008
1,58,1,5,0,0,0.90795,0.35359999999991487
1,59,1,5,1,1,0.8891166,4.438599999999951
1,60,2,13,0,1,0.2964166,3.7314166999999543
1,61,1,5,0,1,0.8545083,0.2624832999999853
1,62,2,13,0,1,0.3416,0.033933300000171585
1,63,2,3,1,0,0.1985834,0.3415999999997439
1,64,1,5,0,0,0.8804833,3.4583667000001697
1,65,1,5,0,0,0.8843916999999999,4.123900000000049
1,66,1,5,0,0,0.8801833,3.6374000000000706
2,0,2,0,0,1,0.3475595999999999,0.0
2,1,1,6,1,0,0.3264083,1.4058999999997468
2,2,2,0,0,1,0.2941498,5.4421000000002095
2,3,1,1,0,1,0.1880084,0.028899999999339343
2,4,1,1,0,1,0.1313333,0.18800840000039898
2,5,2,0,0,1,0.3083409,4.799991599999885
2,6,1,0,0,0,0.1921749999999999,0.62920000000031
2,7,1,1,1,0,0.1305084,0.19217500000013388
2,8,1,6,0,1,0.2745917,4.653374999999869
2,9,2,0,0,1,0.27962,0.1614499999996042
2,10,2,0,0,1,0.2908199,4.146300000000338
2,11,1,6,0,1,0.3498417,0.13109999999960564
2,12,2,0,0,1,0.2928291,4.663400000000365
2,13,1,2,1,0,0.3099917,5.149599999999737
2,14,1,6,0,0,0.3549083,5.277600000000348
2,15,1,5,0,0,0.361125,7.205899999999929
2,16,1,6,0,0,0.3395083,4.719199999999546
2,17,1,6,1,0,0.38335,4.54320000000007
2,18,1,6,0,0,0.2758,4.605658399999811
2,19,1,2,1,0,0.3293467,4.567241600000671
3,0,2,11,0,0,0.2958,0.0
3,1,2,11,0,0,0.3127083,4.754699999999502
3,2,2,11,1,0,0.2673975,10.179200000000492
4,0,2,11,0,0,0.2443981,0.0
4,1,2,1,0,0,0.119875,0.2443980999996711
5,0,1,1,0,0,0.0955584,0.0
5,1,1,0,0,0,0.1054249999999999,0.09555839999995897
5,2,1,1,0,0,0.0898833,0.10542500000008204
